fecha_captura,Metrica,Equipo/Jugador,Valor,Detalle
2026-06-07,Racha invicto,Coquimbo Unido,5,partidos sin perder
2026-06-07,Mas derrotas seguidas,Deportes Limache,3,derrotas consecutivas
2026-06-07,Mejor defensa,Universidad de Chile,8,goles recibidos
2026-06-07,Promedio goles/partido,Liga,2.75,proxy de xG (no oficial)
2026-06-07,Goleador absoluto,Fernando Zampedri,11,Universidad Católica
2026-06-07,Promedio xG/partido,Liga,N/D,requiere proveedor de pago (Opta/Sofascore)
2026-06-08,Racha invicto,Coquimbo Unido,5,partidos sin perder
2026-06-08,Mas derrotas seguidas,Deportes Limache,3,derrotas consecutivas
2026-06-08,Mejor defensa,Universidad de Chile,8,goles recibidos
2026-06-08,Promedio goles/partido,Liga,2.75,proxy de xG (no oficial)
2026-06-08,Goleador absoluto,Fernando Zampedri,11,Universidad Católica
2026-06-08,Promedio xG/partido,Liga,N/D,requiere proveedor de pago (Opta/Sofascore)
2026-06-09,Racha invicto,Coquimbo Unido,5,partidos sin perder
2026-06-09,Mas derrotas seguidas,Deportes Limache,3,derrotas consecutivas
2026-06-09,Mejor defensa,Universidad de Chile,8,goles recibidos
2026-06-09,Promedio goles/partido,Liga,2.75,proxy de xG (no oficial)
2026-06-09,Goleador absoluto,Fernando Zampedri,11,Universidad Católica
2026-06-09,Promedio xG/partido,Liga,N/D,requiere proveedor de pago (Opta/Sofascore)
2026-06-10,Racha invicto,Coquimbo Unido,5,partidos sin perder
2026-06-10,Mas derrotas seguidas,Deportes Limache,3,derrotas consecutivas
2026-06-10,Mejor defensa,Universidad de Chile,8,goles recibidos
2026-06-10,Promedio goles/partido,Liga,2.75,proxy de xG (no oficial)
2026-06-10,Goleador absoluto,Fernando Zampedri,11,Universidad Católica
2026-06-10,Promedio xG/partido,Liga,N/D,requiere proveedor de pago (Opta/Sofascore)
2026-06-11,Racha invicto,Coquimbo Unido,5,partidos sin perder
2026-06-11,Mas derrotas seguidas,Deportes Limache,3,derrotas consecutivas
2026-06-11,Mejor defensa,Universidad de Chile,8,goles recibidos
2026-06-11,Promedio goles/partido,Liga,2.75,proxy de xG (no oficial)
2026-06-11,Goleador absoluto,Fernando Zampedri,11,Universidad Católica
2026-06-11,Promedio xG/partido,Liga,N/D,requiere proveedor de pago (Opta/Sofascore)
2026-06-12,Racha invicto,Coquimbo Unido,5,partidos sin perder
2026-06-12,Mas derrotas seguidas,Deportes Limache,3,derrotas consecutivas
2026-06-12,Mejor defensa,Universidad de Chile,8,goles recibidos
2026-06-12,Promedio goles/partido,Liga,2.75,proxy de xG (no oficial)
2026-06-12,Goleador absoluto,Fernando Zampedri,11,Universidad Católica
2026-06-12,Promedio xG/partido,Liga,N/D,requiere proveedor de pago (Opta/Sofascore)
2026-06-13,Racha invicto,Coquimbo Unido,5,partidos sin perder
2026-06-13,Mas derrotas seguidas,Deportes Limache,3,derrotas consecutivas
